,booking_id,customer_id,booking_date,destination,number_of_passengers,cost_per_passenger
0,1,82,2023-06-01,Bali,4,109
1,2,77,2023-06-02,Utrecht,4,126
2,3,80,2023-06-03,Chicago,2,114
3,4,191,2023-06-04,Prague,4,152
4,5,33,2023-06-05,Zermatt,4,186
5,6,181,2023-06-06,London,1,181
6,7,95,2023-06-07,Bonn,2,179
7,8,166,2023-06-08,Bali,4,169
8,9,78,2023-06-09,Maafushi,2,147
9,10,35,2023-06-10,Jerte Valley,4,131
10,11,193,2023-06-11,Richmond Park,3,108
11,12,163,2023-06-12,Vik,4,130
12,13,32,2023-06-13,Pamir Mountains,4,157
13,14,155,2023-06-14,Tuscany,3,103
14,15,185,2023-06-15,Bali,5,137
15,16,161,2023-06-16,Vik,5,144
16,17,106,2023-06-17,Chicago,1,199
17,18,129,2023-06-18,Utrecht,5,123
18,19,76,2023-06-19,Provence,3,187
19,20,120,2023-06-20,Tel Aviv,2,197
20,21,51,2023-06-21,Lisbon,2,100
21,22,103,2023-06-22,Pamir Mountains,5,189
22,23,5,2023-06-23,Lake Bled,4,139
23,24,18,2023-06-24,Provence,3,160
24,25,102,2023-06-25,Gobi Desert,1,101
25,26,58,2023-06-26,High Atlas Mountains,4,199
26,27,135,2023-06-27,Maui,1,133
27,28,37,2023-06-28,Bruges,3,158
28,29,2,2023-06-29,Whistler,4,119
29,30,72,2023-06-30,Mount Fuji,3,189
30,31,138,2023-07-01,Vik,2,119
31,32,195,2023-07-02,Whistler,2,131
32,33,132,2023-07-03,Gobi Desert,2,177
33,34,54,2023-07-04,Keukenhof,4,175
34,35,92,2023-07-05,Lake Bled,3,114
35,36,47,2023-07-06,Trakai Castle,4,119
36,37,38,2023-07-07,Vik,5,197
37,38,62,2023-07-08,Washington DC,1,164
38,39,70,2023-07-09,Hamburg,4,119
39,40,67,2023-07-10,Santorini,2,172
40,41,177,2023-07-11,Pamir Mountains,4,149
41,42,96,2023-07-12,Maui,1,145
42,43,40,2023-07-13,Harbin,3,144
43,44,188,2023-07-14,Lodz,3,162
44,45,134,2023-07-15,Maafushi,3,196
45,46,147,2023-07-16,Gobi Desert,5,173
46,47,87,2023-07-17,Belfast,3,146
47,48,171,2023-07-18,Bruges,4,151
48,49,68,2023-07-19,Tokyo,4,139
49,50,198,2023-07-20,Richmond Park,4,170
50,51,3,2023-07-21,Schloss Neuschwanstein,1,114
51,52,189,2023-07-22,Jigokudani Monkey Park,1,127
52,53,56,2023-07-23,Northern Ireland,5,159
53,54,157,2023-07-24,Trakai Castle,4,167
54,55,199,2023-07-25,Jerte Valley,4,182
55,56,183,2023-07-26,Mount Fuji,1,183
56,57,53,2023-07-27,Washington DC,4,185
57,58,90,2023-07-28,Bonn,4,178
58,59,146,2023-07-29,Utrecht,5,138
59,60,48,2023-07-30,Washington DC,2,109
60,61,154,2023-07-31,Schloss Neuschwanstein,2,161
61,62,165,2023-08-01,Schloss Neuschwanstein,1,132
62,63,111,2023-08-02,Chicago,4,173
63,64,79,2023-08-03,Provence,5,114
64,65,99,2023-08-04,Zermatt,3,172
65,66,26,2023-08-05,Patagonia,5,118
66,67,43,2023-08-06,Schloss Neuschwanstein,5,141
67,68,44,2023-08-07,Hallstatt,2,108
68,69,100,2023-08-08,London,4,192
69,70,145,2023-08-09,Pamir Mountains,2,156
70,71,39,2023-08-10,Lodz,5,155
71,72,75,2023-08-11,Lake Bled,3,148
72,73,115,2023-08-12,Washington DC,4,130
73,74,65,2023-08-13,Gobi Desert,1,107
74,75,74,2023-08-14,Jigokudani Monkey Park,4,106
75,76,22,2023-08-15,Lisbon,2,120
76,77,104,2023-08-16,Whistler,5,150
77,78,159,2023-08-17,High Atlas Mountains,5,139
78,79,144,2023-08-18,Keukenhof,4,197
79,80,12,2023-08-19,Patagonia,4,164
80,81,66,2023-08-20,Richmond Park,1,118
81,82,23,2023-08-21,Schloss Neuschwanstein,5,144
82,83,93,2023-08-22,Chicago,1,111
83,84,63,2023-08-23,London,5,150
84,85,57,2023-08-24,Prague,5,166
85,86,88,2023-08-25,Utrecht,3,148
86,87,164,2023-08-26,Bali,4,121
87,88,7,2023-08-27,Lodz,5,152
88,89,71,2023-08-28,Harbin,4,152
89,90,73,2023-08-29,Pokhara,5,188
90,91,8,2023-08-30,Hamburg,1,123
91,92,130,2023-08-31,Banff National Park,1,130
